CNC1=C(N=CC=C1)C=NNC(=S)N
CCCC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCCOCCO)C#N
CCN(CC)C1=CC(=[N+]2CCCC2)CC(C1)(C)C.[I-]
CCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.I
CC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=NC4=C(S3)C=C(C=C4)S(=O)(=O)C
CCC1=C(N=C(NC1=O)SCC(=O)NC2=CC3=C(C=C2)OCCO3)C
CCN\1C2=C(C=C(C(=C2)C)C)S/C1=C\C3=[N+](C4=C(C=C3)C=C(C=C4)C)CC.[I-]
COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)NC=O)OC)OC
CC1=CC(=C(N1CC2CCCO2)C)C(=O)CSC3=NC4=CC=CC=C4N3
CC1C(C2=CC3=C(C=C2OC1NNC(=S)N)OCO3)C4=CC(=C(C(=C4)OC)OC)OC
C1C=CCC2C1C(=O)N(C2=O)CCC(=O)OCC(=O)NCCC3=CC=CC=C3
CC1(C(=O)NC2=CC=CC=C2N1C(=O)COC(=O)C3=CC(=C(C=C3OC)N)Cl)C
COC1=CC(=CC(=C1OC)OC)CCNC2=NN3C(=NN=C3C4=CC=CC=C4)C=C2
CC(=O)N1CCC2=C(C1)SC(=C2C(=O)OC)NC(=O)C3=CC(=CC=C3)N4C(=O)CCC4=O
COC1=CC(=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)OC
CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-]
CC1=CC=CC=C1NC(=O)C2=C(N(N=N2)CC(=O)NC3=CC=C(C=C3)OC)N
CC1=C(C(=CC=C1)NC(=O)COC(=O)C2=CC=CS2)C
CC1=C(C(=NN1CC(=O)NCCC2=CCCCC2)C)[N+](=O)[O-]
