PUBCHEM_CID,Activity_outcome,Canonical_SMILES
6185,1,CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5(C3(CCC(C5)O)C=O)O
3243535,0,CC1=CC(=C(C=C1)NC(=O)CN2C3=C(C=C2C(=O)OC)OC=C3)C
2425634,0,C1COCCN1C2=CC=C(C=C2)NC(=O)COC(=O)C3=CC=CC=C3O
2876839,1,CC(C)C(=O)NC(C1=CC=C(C=C1)OC)C2=C(C3=C(C=CC=N3)C=C2)O
16188945,1,COC1=CC=CC=C1N2C=C(C=N2)C3CC4CN(C(=O)C45N3CCC5)C6=CC=CC=C6
24819943,0,COC1=CC=CC(=C1OC)COC(=O)C2CC(=O)N(C2)CC3=CC=CO3
53301248,1,CCOC(=O)C12CC3=C(C1N(C(=O)C4=CC=CC=C24)C5CCCCC5)C=CC(=C3)Cl
43795,0,C1CN(CCN1CC2=CC=CC=C2)C3=CC=C(C4=NO[N+](=C34)[O-])[N+](=O)[O-]
9616533,0,CC(=NNC(=S)N)C1(CCCCC1)C
146600,0,CC1C(C2=CC3=C(C=C2OC1N4CCCC4)OCO3)C5=C(C(=CC=C5)OC)O
866501,0,CC1=CC(=CC=C1)N2C3=C(C=N2)C(=NC=N3)N(C)C4CCCCC4
6604199,1,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
3932658,1,C1CN(CCN1C2=C(C=C(C=C2)C(=O)N)[N+](=O)[O-])S(=O)(=O)C3=CC=CS3
5759185,1,CC(C)(C)C(=O)C(=CC1=CC(=CC=C1)[N+](=O)[O-])N2C=NC=N2
392762,1,C[N+]1=C(C=C2N1C3=CC=CC=C3C2=CC4=CC=CC=C4)C5=CC=CC=C5.C(F)(F)(F)S(=O)(=O)[O-]
9551158,1,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)NC4=CC(=C(C(=C4)OC)OC)OC
135497975,1,C1CC2=CC(=C(C3=C2N(C1)CCC3)O)C=NNC(=O)C4=CC=CC=C4O
12005560,1,CC1=CC=C(C=C1)C2=C[N+]3=CC=CC=C3N2CC4=CC=C(C=C4)OC.[Br-]
3163315,0,CCOC(=O)C1=CC(=C(C=C1)N2CCN(CC2)C(=O)C3=CC=CC=C3)NC(=O)C4=CC=CO4
16319468,0,CC(C)C(=O)NC1=CC=C(C=C1)C(=O)CN2C(=O)C3(CCOC4=CC=CC=C43)NC2=O
138252,1,C1=CC=C2C(=C1)C=CC(=O)C3=CC=CC=C23
5894133,1,COC1=C(C=C(C(=C1)C(=O)C=CC2=CN=CC=C2)[N+](=O)[O-])OC
2434777,0,C1=CC(=CN=C1)C=C2C(=O)N(C(=O)S2)CCNC(=O)CCl
2405293,0,CC1=CC(=CC(=C1NC(=O)CCl)C)SC#N
16335372,0,CCOC1=C(C=C(C=C1)CCNC(=O)COC(=O)C2=C(N(N=C2C)C3=CC=CC=C3)C)OCC
4593674,0,C1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NCC3=CC4=C(C=C3)OCO4
778068,1,CC(C)(C)C1=CC=C(O1)C(=O)NC2=CC=C(C=C2)CC(=O)O
25237206,0,CC1=CC(=C(C=C1)C)C2=NC3=CC=CC=C3C(=C2)C(=O)NN=CC4=CN=CC=C4
11352,1,C1=CC=C2C(=C1)C=C3C(=N2)C=CC=C3N
663191,1,CN(C)C1=CC=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC=CC=C4OC
49778350,0,CC1(CCN1C(=O)CC2=C(C=C(C=C2)Cl)Cl)C(=O)NCC3=CC=C(C=C3)Cl
325517,1,CC1C(C(=O)C2(O1)CC3C(C2OC(=O)C)(CC45N3C(=O)C(N(C4=O)C)(SS5)CO)O)(C)C
6859942,1,CC1=CC(=C(N1C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl)C)C=NN4C=NN=C4
4961737,0,C1=C2C(=CC(=C1NC(=O)CCl)Br)NC(=O)N2
652610,1,CS(=O)(=O)N1CCCC(C1)C2=NC(=NO2)C3=CC=C(C=C3)S(=O)(=O)NCC4=CC=CC=C4
2372624,0,CCCNC(=O)C1=C(C2=C(S1)CCCC2)C(=O)NC3=CC=CC=N3
667208,0,CC1=CC2=C(C3=C(CCC3)C(=O)O2)C(=C1)OC(C)C(=O)OC
135431416,0,COC1=CC=C(C=C1)NC(=O)CSC2=NC(=C(C(=O)N2)C3=CC=CC=C3)N
1173783,0,CCC(=O)NC1=CC=C(C=C1)NC(=O)CSC2=NC3=C(N2CC)C(=O)N(C(=O)N3C)C
49790538,0,CC(C1=CC(=CC=C1)OC)(C2=NC(=CS2)C3=COC=C3)O
266926,0,C1CCC(CC1)C2=CC(=O)NC(=O)N2
889237,1,CC1=CC=C(C=C1)CC(=O)NC2=CC=NC=C2
9684646,0,CC(=NNC1=NC2=CC=CC=C2N1)C3=CC=CC=N3
135411583,1,C1=CC=NC(=C1)C=NNC2=NN=CC(=O)N2
54691570,0,CC1=CC(=C(C=C1)NC(=O)CSC2=NC3=C(S2)C(=CC(=O)N3)O)Br
3634802,0,CC1=CC(=NN1)NC(=O)CSC2=NC3=C(C(=O)N2CCCN4CCOCC4)SC5=CC=CC=C53
1167228,1,COC1=CC(=C(C=C1)NC2=NC=NC3=C2C=C(C=C3)Br)OC
792334,1,C1=CC=NC(=C1)NC(=O)COC2=C(C=C(C=C2)Cl)Cl
16242056,1,CCC[N+]1(CCCCC1)CC#CCC(C2=CC=CC=C2)C3=CC=CC=C3.[Br-]
2242454,0,CN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=C(N3C4=CC=CC=C4)C5=CC=CC=C5O)N(C1=O)C
49778338,0,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC=CC=C3)C4=CC(=CC=C4)NS(=O)(=O)C
1485477,0,CC1=CC(=NC2=C1C(=NN2C)NC(=O)CCl)C
4672615,0,CC1=NN=C(O1)SCC(=O)NC2=CC=C(C=C2)N3CCN(CC3)S(=O)(=O)C
9828429,1,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
6874331,0,CC1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)C=NNC(=S)N)OC
2922048,1,CCCCC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O
3563955,0,CC1=NC(=C(C=C1)C#N)SCC2=NN=C(O2)C3=CC=C(C=C3)Cl
2998014,0,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)OCC(=O)NC3=CC4=C(C=C3)OCO4
5013282,0,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)NC(=O)CCCOC2=CC=C(C=C2)C(=O)C)C
5310383,0,C1CC(OC1)CNC(=O)CN2C=NC3=C(C2=O)N=NN3C4=CC=CC=C4
9618155,0,C1=CC=NC(=C1)SC2=CC=C(O2)C=NNC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
1930124,0,CCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)S(=O)(=O)C4=CC=C(C=C4)C)NS(=O)(=O)C5=CC=CC=C5
3155810,0,CC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)COC4=CC=C(C=C4)OC
135517114,1,CC1=CC(=NN1CC2=CC=C(C=C2)C(=O)NN=CC3=C(C=C(C=C3)O)O)[N+](=O)[O-]
9563275,0,CC1=NC2=CC=CC=C2N1N=CC3=CC=C(O3)[N+](=O)[O-]
2548574,0,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-]
6404314,0,CN(C)C1=CC=C(C=C1)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4
16188793,1,CCN1C2=CC=CC=C2SC1=CC3=[N+](C=C(S3)C4=CC=CC=C4C)C.[I-]
7203047,0,C1COC(=CO1)C(=O)NC2=NC3=CC4=C(C=C3S2)OCCO4
2064069,0,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2NC(=O)CCl
1485941,0,C1COCCN1C2=C(C=C(S2)C(=O)C3=CC=CC=C3)C4=CC=CC=N4
6272469,0,CC1=CC=CC=C1OC2=C(C(=O)N3C=CC=C(C3=N2)C)C=C(C#N)C(=O)NC4CCS(=O)(=O)C4
2114988,0,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)OCC(=O)NC3=CC4=C(C=C3)OCO4
2965599,0,CC1=CC(=C2C(=C1)C(=CC(=N2)C3=CN=CC=C3)C(=O)NC(C)C4=C(N(N=C4)C)C)C
135438768,1,C1=CC=C(C=C1)NC(=O)CSCC(=O)NN=CC2=C(C=CC3=CC=CC=C32)O
299645,1,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O
24816549,0,CCOC1=C(C=C(C=C1)CCNC(=O)COC(=O)CCC(=O)C2=CC=CS2)OCC
1150803,1,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)NCC3=CN=CC=C3
430232,1,CC1=CC2C3(CC1O)COC(=O)C4C(O4)(C(COC(C=CC=CC(=O)OC5C3(C6(CO6)C(C5)O2)C)C(C)O)O)C
2610879,0,C1COCCN1C2=CC=C(C=C2)NC(=O)COC3=CC4=C(C=C3)C=CC(=O)O4
18564987,1,C1CC2=C(C=CC(=C2)NC(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Cl)N(C1)C(=O)C4=CC=CO4
899545,0,COC1=CC(=C(C=C1)NC(=S)NCCC2=CC=C(C=C2)F)OC
285026,1,C1CN2C3=CC=CC=C3C4=CC=CC=C4C2=N1
5888189,0,CC(C(=O)NC1=CC=C(C=C1)C(=O)C)ON=C(C2=CC=CC=C2)N
2871851,1,CC(=O)NC(C1=CC=C(C=C1)Cl)C2=C(C3=C(C=CC=N3)C=C2)O
5294973,0,CCC(=O)N1CCN(CC1)C2=C(C=C(C(=C2)NCC3CCCO3)F)[N+](=O)[O-]
3976162,0,C1CCCC2(CC1)C(=O)N(C(=O)N2)CC(=O)NC3=CC=C(C=C3)[N+](=O)[O-]
3245562,0,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NN=C(O3)CNC(=O)C4=CC=CC=C4F
2914378,1,CCCNC1=C(C(=O)C2=CC=CC=C2C1=O)N(C3=CC(=CC=C3)F)C(=O)C
848023,0,CC1=CC(=NC(=C1C#N)SCC2=NN=C(O2)C3=CC=CC=C3)C
3645747,0,CC1CCCC(N1C(=O)COC(=O)CC2=CC=C(C=C2)Cl)C
73549,1,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2
233768,1,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)OC(=O)C
15944722,1,CC1=CC(=C2C(=C1)N=C(S2)NNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4)C
3129251,1,CCCCC(=O)NC(C1=CC=C(C=C1)Cl)C2=C(C3=C(C=CC=N3)C=C2)O
649767,0,CCCCC1=C(N=C(NC1=O)SCC(=O)NC2=CC3=C(CCC3)C=C2)O
24761059,1,CN1C=C(C2=C1C=CC(=C2)Cl)C=CC3=CC=[N+](C=C3)C.[I-]
12005562,1,CCOC1=CC=C(C=C1)N2C3=[N+](CCCCC3)C=C2C4=CC=C(C=C4)OC.[Br-]
135452588,1,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NN=CC3=C(C(=CC=C3)OC)O
2355337,0,CN(C)C1=CC=C(C=C1)C(=O)OCC(=O)NC2=CC=C(C=C2)N3CCOCC3
76357,1,CC1=C(C2=C(C3=C1C=CC=N3)N=CC=C2)C
24747178,0,COC1=CC=CC=C1NC2=NC(=NC(=N2)NCCCCO)N3CCCC3
1299980,0,CCN1N=C(N=N1)NC(=O)C2=CC=C(O2)[N+](=O)[O-]
3237652,0,CC1=C(C=C(C=C1)NC(=O)CN2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC)F
2604427,0,CC1=C(C=CC=C1Cl)NC(=O)CNC2=CC=CC=C2F
135831466,0,CCOC1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C=NN3)C(=O)N2
1321013,1,C1COCCN1CC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)CSC4=CC=CC=C4
45280982,1,C=CC(=O)N1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1
46930969,1,CC1=C([N+]2=CC=CC=C2N1CC=CC3=CC=CC=C3)P(=S)(C4=CC=CC=C4)C5=CC=CC=C5.[Br-]
2329643,0,COC1=CC(=CC(=C1OC)OC)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=NC=C4
818740,0,C1=CC=C(C=C1)N(C2=CNC3=CC=CC=C32)C(=O)CCl
2347030,0,CC(=O)NC1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-]
46944099,0,CC(C1=CN=CC=C1)(C2=NC(=CS2)C3=CC=CC(=C3)C#N)O
713065,0,CCN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)Cl)C3CC3
3000575,1,CC(=NNC(=S)NC1=CC=CC=C1)C2=CC=CC=N2
11957513,1,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O
3496119,0,C1=CC(=CC(=C1)C(F)(F)F)CNC(=O)C2=C(C(=CC=C2)Cl)Cl
2102349,0,CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)CSC3=CC=C(C=C3)NC(=O)C
3136121,1,CC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O
2548270,1,CC1=C(SC2=NC=NC(=C12)NCCC3=CC=C(C=C3)S(=O)(=O)N)C
744674,0,CC1=CC(=NC(=C1C(=O)N)NC2=CC=CC3=CC=CC=C32)C
9609431,1,CC1=CC(=C(C(=C1)C)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O)C
2336835,1,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)F
7259160,0,CC1=CC2=NC(=NC(=O)N2C=C1)SCC(=O)NC3=CC4=C(C=C3)OCCO4
661682,0,COCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NCC4CCCO4)N
5238865,0,CC1CC(=O)C(C(=O)C1)C2C3=CC(=C(C=C3CCN2C(=O)CCl)OC)OC
